"grdc_no","river","station","country","lat","long","area"
6123620,"DORE (TRIB. LOIRE)","TOURS-SUR-MEYMONT (GIROUX)","FR",45.6884,3.6099,655
6123630,"RUISSEAUX AILLOUX","MANGLIEU (MOULIN DE LAVAUR)","FR",45.6219,3.3575,73
6123640,"ALAGNON","LEMPDES","FR",45.3814,3.2641,984
6123641,"ALAGNON","JOURSAC (JOURSAC-LE-VIALARD)","FR",45.1616,3.0288,310
6123645,"ALLANCHE","JOURSAC (PONT DE VERNET)","FR",45.1335,3.0064,157
6123650,"SENOUIRE","PAULHAGUET","FR",45.1966,3.522,155
6123700,"DRAGNE","VANDENESSE","FR",46.91,3.7631,115
6123710,"ARROUX","RIGNY-SUR-ARROUX","FR",46.5337,4.0339,2277
6123720,"SELLE","CELLE-EN-MORVAN (POLROY)","FR",47.0041,4.1959,138
6123730,"BOURBINCE","VITRY-EN-CHAROLLAIS","FR",46.4749,4.0764,819
6123740,"COISE","SAINT-MEDARD-EN-FOREZ (MOULIN BRULE)","FR",45.6068,4.3749,165
6123741,"COISE","NEZELLE","FR",45.63,4.53,61
6123750,"SEMENE","SAINT-DIDIER-ENVELAY (LE CROUZET)","FR",45.3127,4.2502,134
6123760,"ANCE DU NORD","SAINT-JULIEN-D'ANCE (LAPRAT)","FR",45.3068,3.9382,354
6123770,"DUNIERE","SAINTE-SIGOLENE (VAUBARLET)","FR",45.2138,4.214,228
6123780,"LIGNON DU VELAY","CHAMBON-AU-LIGNON","FR",45.0569,4.3004,139
6123790,"SAUNADE","PONTAUMUR","FR",45.8698,2.6735,112
6123800,"VINCOU","BELLAC","FR",46.1334,1.0206,286
6123810,"SEMME","DROUX","FR",46.1499,1.1416,177
6123820,"GARTEMPE","FOLLES (BESSINES)","FR",46.1128,1.4327,570
6123825,"ARDOUR","FOLLES (FORGEFER)","FR",46.0958,1.4952,131
6124200,"RUISSEAUX L'EYRAUD","FORCE (BITAREL)","FR",44.8886,0.3659,74
6124300,"CEOU","SAINT-CYBRANET","FR",44.7885,1.1706,603
6124400,"MARONNE","PLEAUX (ENCHANET)","FR",45.0824,2.1942,513
6124401,"MARONNE","SAINTE-EULALIE","FR",45.118,2.3841,112
6124410,"MARS","BASSIGNAC (PONT DE VENDES)","FR",45.296,2.3872,117
6124430,"SANTOIRE","CONDAT (ROCHE-POINTUE)","FR",45.3334,2.7514,172
6124440,"BURANDE","SINGLES","FR",45.5429,2.5421,85
6124501,"VEZERE","CAMPAGNE","FR",44.903,0.9591,3736
6124502,"VEZERE","BUGEAT","FR",45.6031,1.9237,143
6124510,"ROSEIX","VARS-SUR-ROSEIX","FR",45.2612,1.3802,58
6124520,"LOYRE","VOUTEZAC","FR",45.3052,1.4146,103
