grdc_no,river,station,country,lat,long,area,kge,r,beta,alpha,nse,pbias,source,match_km,px_lon,px_lat,wmo_reg,sub_reg,nat_id,altitude,ds_stat_no,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discha,r_volume_y,r_height_y,gid4fname
6854750,TORNEAELVEN; TORNIONJOKI,MUONIONJOKI; MUONIO,FI,67.94570000000,23.66010000000,9259,0.887022114636483,0.897128601466135,1.00087014151684,0.953301811612874,0.801683872129137,0.1,GRDC,,23.6513671875,67.9482421875,6,54,6700800,233,-,1938,2013,76,18.57000000000,0,0,0,0.00000000000,1938,2013,76,122.77000000000,3.87000000000,418.15000000000,mask_6854750
6854753,TORNEAELVEN; TORNIONJOKI,KILPISJAERVI - OUTLET,FI,68.93840000000,20.85220000000,293,0.601045011703436,0.748439318375629,1.1394490492712,1.27647109940236,0.271694307041532,13.9,GRDC,,20.9033203125,68.9638671875,6,54,6700100,479,6854755,1952,2013,62,0.10000000000,0,0,0,0.00000000000,1952,2013,62,4.89000000000,0.15000000000,526.53000000000,mask_6854753
6855310,VANTAANJOKI,OULUNKYLAE,FI,60.23780000000,24.98430000000,1680,0.550008938567741,0.7741031803438,1.36571110276845,1.13310887104182,0.403917802442628,36.6,GRDC,,24.9833984375,60.2392578125,6,55,2101700,8,-,1937,2013,77,0.00000000000,0,0,0,0.00000000000,1937,2013,77,16.06000000000,0.51000000000,301.38000000000,mask_6855310
6855408,VUOKSI,KORPIJOKI,FI,63.72780000000,26.36910000000,122,0.439079830585365,0.599078368638488,1.22651686078642,0.679713575464037,0.342435196323629,22.7,GRDC,,26.3525390625,63.6689453125,6,55,61,110,6855411,1958,2016,59,0.64000000000,0,0,0,0.00000000000,1958,2016,59,1.29000000000,0.04000000000,333.97000000000,mask_6855408
6139501,AIN,CERNON (VOUGLANS),FR,46.39660000000,5.66500000000,1120,0.760264956180106,0.863945378544669,1.07792676515926,0.818645511531183,0.740604837018074,7.8,GRDC,,5.6826171875,46.4599609375,6,39,0,378,6139500,1933,2009,77,0.02000000000,0,0,0,0.00000000000,1933,2009,77,40.15000000000,1.27000000000,0.00000000000,mask_6139501
6123641,ALAGNON,JOURSAC (JOURSAC-LE-VIALARD),FR,45.16160000000,3.02880000000,310,0.665605678304216,0.764900138043431,1.23773210145585,1.00557361891168,0.478120430903304,23.8,GRDC,,3.0126953125,45.1396484375,6,23,0,924,6123640,1948,2012,65,7.84000000000,0,0,0,0.00000000000,1948,2012,65,6.39000000000,0.20000000000,650.15000000000,mask_6123641
6125230,ARAC,SOULAN (FREYCHET),FR,42.89820000000,1.23130000000,169,0.345304107927116,0.559869879420547,0.787193139084676,0.564539981165675,0.274619018098273,-21.3,GRDC,,1.1962890625,42.8349609375,6,25,0,541,6125100,1962,2012,51,2.37000000000,0,0,0,0.00000000000,1962,2012,51,6.06000000000,0.19000000000,0.00000000000,mask_6125230
6139130,BES (TRIB. RHONE),CHATILLON-EN-DIOIS,FR,44.69190000000,5.49030000000,227,0.552543760486761,0.703088159288964,1.31255620078868,1.11987104101265,0.254717484884917,31.3,GRDC,,5.4912109375,44.6923828125,6,39,0,611,6139100,1963,2012,50,0.33000000000,0,0,0,0.00000000000,1963,2012,50,4.22000000000,0.13000000000,586.68000000000,mask_6139130
6150500,FIUM-ALTO,TAGLIO-ISOLACCIO (ACITAJA),FR,42.44450000000,9.46990000000,114,0.398912727176154,0.612943563559625,1.26015680584097,0.620774920481901,0.366875188498119,26.0,GRDC,,9.4658203125,42.4462890625,6,50,0,88,-,1960,2012,53,5.48000000000,0,0,0,0.00000000000,1960,2012,53,1.35000000000,0.04000000000,372.35000000000,mask_6150500
6119010,GAVE DE PAU,BERENX (PONT DE BERENX),FR,43.50780000000,-0.85370000000,2575,0.729758206880635,0.730989958408568,1.02355775576292,0.989547420664728,0.466579046610584,2.4,GRDC,,-0.8544921875,43.5068359375,6,19,0,100,-,1923,2012,90,3.10000000000,0,0,0,0.00000000000,1923,2012,90,81.85000000000,2.58000000000,0.00000000000,mask_6119010
6123780,LIGNON DU VELAY,CHAMBON-AU-LIGNON,FR,45.05690000000,4.30040000000,139,0.510158165146333,0.657726033728426,1.07544083196119,0.657797960177709,0.430439032648802,7.5,GRDC,,4.2998046875,45.0595703125,6,23,0,983,6123500,1960,2012,53,1.58000000000,0,0,0,0.00000000000,1960,2012,53,3.08000000000,0.10000000000,698.78000000000,mask_6123780
6136200,MOSELLE RIVER,EPINAL,FR,48.16460000000,6.45210000000,1220,0.703989855060939,0.904916078362078,0.850138084217761,0.763098206104566,0.780500349679996,-15.0,GRDC,,6.4521484375,48.1650390625,6,36,0,369,6336800,1960,2012,53,0.00000000000,0,0,0,0.00000000000,1960,2012,53,38.15000000000,1.20000000000,986.12000000000,mask_6136200
6125360,TARN,ST-VICTOR-ET-MELVIEU (PINET),FR,44.07020000000,2.80240000000,2677,0.799651442204754,0.813624854292533,1.0416455801256,0.939423640509207,0.645190168143252,4.2,GRDC,,2.8037109375,44.0693359375,6,25,0,342,6125100,1933,1996,64,0.01000000000,0,0,0,0.00000000000,1933,1996,64,56.06000000000,1.77000000000,660.39000000000,mask_6125360
6139201,VERDON,DEMANDOLX (CASTILLON),FR,43.87850000000,6.53880000000,655,0.75939705171719,0.762825057858453,0.977220817648063,0.966549523263312,0.540028264956307,-2.3,GRDC,,6.5498046875,43.8701171875,6,39,0,843,6139100,1948,2009,62,0.00000000000,0,0,0,0.00000000000,1948,2009,62,12.65000000000,0.40000000000,609.01000000000,mask_6139201
6123440,VIGE,SAINT-MARTIN-SAINTE CATHERINE,FR,45.95520000000,1.57790000000,134,0.744714526919225,0.817661544956198,1.16140637881959,1.07662467914883,0.57203460081625,16.1,GRDC,,1.5693359375,45.9619140625,6,23,0,357,6123400,1958,2012,55,0.07000000000,0,0,0,0.00000000000,1958,2012,55,2.62000000000,0.08000000000,617.54000000000,mask_6123440
